128538,"Oxford",42.11676,-71.86479
128792,"Lincoln",45.36228,-68.50502
128834,"Oxford",44.13174,-70.49311
129221,"Oxford",42.82475,-83.26466
129698,"Virginia",47.52326,-92.53657
129843,"Lincoln",40.8,-96.66696
129863,"Pierce",42.19917,-97.52672
130301,"Oxford",40.80315,-74.98962
130998,"Oxford",42.44202,-75.59769
131368,"Delaware",40.29867,-83.06796
132035,"Indiana",40.62146,-79.15253
132102,"Lincoln",40.31896,-79.85477
133157,"Congress",34.16253,-112.85074
133767,"Lincoln",38.89156,-121.29301
135012,"Lincoln",43.51297,-111.96441
135113,"Lincoln",46.95494,-112.68171
135172,"Lincoln",46.76249,-100.7004
135504,"Francis",40.61051,-111.28074
137971,"Virginia",-28.10391,26.86593
1086,"San Lorenzo",-28.13306,-58.76733
26014,"San Lorenzo",1.50628,-77.21898
51529,"Nay",43.18333,-0.26667
61807,"San Lorenzo",15.03333,-91.73333
61808,"San Lorenzo",14.48333,-91.51667
62170,"San Lorenzo",13.42417,-87.44722
76888,"San Lorenzo",38.01097,15.8344
81722,"Certaldo",43.54704,11.04022
82897,"San Michele",46.45472,11.26178
89013,"San Lorenzo",16.39388,-97.8741
92067,"San Lorenzo",12.37781,-85.66741
93918,"San Lorenzo",-4.81667,-76.6
94425,"San Lorenzo",-11.84684,-75.38146
94426,"San Lorenzo",-11.46667,-69.3
96049,"San Lorenzo",18.1323,120.6305
96050,"San Lorenzo",15.4862,119.9622
103132,"San Lorenzo",18.1894,-65.961
104009,"San Lorenzo",-25.33968,-57.50879
125334,"Joanna",34.41485,-81.81122
134058,"San Lorenzo",37.68104,-122.12441
3744,"Young",-34.3135,148.30107
57774,"Over",53.18333,-2.55
92761,"Best",51.5075,5.39028
120820,"Sheridan",34.30704,-92.40127
128034,"Sheridan",41.53003,-88.6798
122241,"English",38.3345,-86.46415
128273,"Sheridan",40.13504,-86.22055
128846,"Poland",44.06063,-70.39367
131419,"Green",40.94589,-81.48317
131571,"Poland",41.02423,-80.6148
134390,"Sheridan",39.64693,-105.02526
134830,"Sheridan",38.97962,-121.37551
135306,"Green",43.16039,-123.36785
135396,"Sheridan",45.09928,-123.39483
135991,"Sheridan",44.79719,-106.95618
136527,"Young",-32.68333,-57.63333
3566,"Newman",-23.35644,119.73553
3962,"Milton",-35.31644,150.4361
4116,"Gladstone",-23.84761,151.25635
4453,"Milton",-27.47039,153.00312
4560,"Alexandria",-33.90219,151.20037
6347,"Porto",-3.89333,-42.71
6759,"Alexandria",-6.4125,-38.01583
7715,"Eldorado",-23.78694,-54.28361
8937,"Milton",43.51681,-79.88294
10857,"Man",7.41251,-7.55383
18218,"Bashan",30.31474,107.73249
18219,"Bashan",27.76823,116.05017
18695,"Bashan",32.11162,108.46732
26724,"Plato",9.79029,-74.78244
32951,"Much",50.91667,7.4
40680,"Alexandria",31.21564,29.95527
44321,"Porto",42.16737,-6.89934
57595,"Reading",51.45625,-0.97113
59986,"Alexandria",55.99379,-4.5864
84892,"Alexandria",18.30768,-77.35335
88418,"Queen Victoria",-20.22,57.7075
90311,"Eldorado",24.32444,-107.36722
93551,"Milton",-46.12083,169.96944
98340,"Conversion",15.8984,121.1277
103787,"Porto",41.14961,-8.61099
108585,"Alexandria",43.98333,25.33333
111758,"Buy",58.48067,41.53699
115660,"Li",17.8027,98.95097
118259,"Of",40.94458,40.26746
120470,"Helena",33.29622,-86.8436
120728,"Helena",34.52955,-90.59177
120877,"Milton",38.77761,-75.30991
121294,"Milton",30.63241,-87.03969
121550,"Venice",27.09978,-82.45426
121731,"Emerson",34.12704,-84.75549
121776,"Helena",32.07379,-82.91459
122051,"Eldorado",37.81366,-88.4381
121996,"Arthur",39.71476,-88.47228
122182,"Venice",38.67227,-90.16983
122284,"Milan",39.12117,-85.13135
122539,"Alexandria",38.95951,-84.38799
122810,"Alexandria",31.31129,-92.44514
122981,"Milton",30.10381,-92.07651
123531,"Gladstone",39.20389,-94.55468
122969,"Many",31.56878,-93.48406
123850,"Helena",30.49464,-88.49585
123923,"Philadelphia",32.77152,-89.11673
124792,"Reading",39.22367,-84.44216
124949,"Helena",36.54614,-98.27007
125180,"Philadelphia",39.95234,-75.16379
125645,"Milan",35.91979,-88.75895
126614,"Alexandria",38.80484,-77.04692
127047,"Milton",38.43453,-82.13236
127145,"Alexandria",33.77399,-85.88552
127682,"Chicago",41.85003,-87.65005
127906,"Milan",41.45309,-90.57208
128115,"Zion",42.44613,-87.83285
128120,"Alexandria",40.26282,-85.67581
128497,"Milton",42.24954,-71.06616
128259,"Porter",41.61559,-87.0742
