173,"Aaronsohn, Alexander"
174,"Owen, Wilfred"
175,"Stoddard, William Osborn"
176,"Horne, Charles F. (Charles Francis)"
177,"Lamb, Mary"
178,"Trollope, Frances Milton"
179,"McGuinn, Roger"
180,"Robinson, Edwin Arlington"
181,"Johnson, Samuel"
182,"Richardson, James"
183,"Boswell, James"
184,"O'Neill, Rose Cecil"
185,"Lawson, Henry"
186,"Alcott, Louisa May"
187,"Troward, T. (Thomas)"
188,"Dolbey, Robert Valentine"
189,"Gandhi, Mahatma"
190,"Carr, John, Sir"
191,"Stockton, Frank Richard"
192,"Yeardley, John"
193,"Venables, Edmund"
194,"Musick, John R. (John Roy)"
195,"Oppenheim, E. Phillips (Edward Phillips)"
196,"Vachell, Horace Annesley"
197,"Fletcher, J. S. (Joseph Smith)"
198,"Bowman, Earl Wayland"
199,"Mill, John Stuart"
200,"Garvice, Charles"
201,"Wells, Philip P. (Philip Patterson)"
202,"Locker, Arthur"
203,"Howard, J. E."
204,"Bull, Thomas"
205,"Clarkson, Thomas"
206,"Carter, F. A. (Freeland A.)"
207,"Bullen, A. H. (Arthur Henry)"
208,"Long, William J. (William Joseph)"
209,"Livingstone, David"
210,"Waterloo, Stanley"
211,"Brampton, Henry Hawkins, Baron"
212,"Guest, Edgar A. (Edgar Albert)"
213,"Van Dyke, Henry"
214,"Harkness, Peter T."
215,"McCracken, Elizabeth"
216,"Roosevelt, Franklin D. (Franklin Delano)"
217,"Drayton, Daniel"
218,"Isham, Frederic Stewart"
219,"Bilbrough, E. Ernest"
220,"Raine, William MacLeod"
221,"Jellicoe, John Rushworth"
222,"Shakespeare, William"
223,"Merrill, Frank T."
224,"Hubbard, Elbert"
225,"Dulabone, Chris"
226,"Lewes, George Henry"
227,"Galt, John"
228,"Mundy, Talbot"
229,"Gale, Zona"
230,"McCabe, Joseph"
231,"Morley, Henry"
232,"Hughes, Louis"
233,"Perry, Nora"
234,"Spyri, Johanna"
235,"Eddy, Mary Baker"
236,"Mackay, Isabel Ecclestone"
237,"Herrman, Karl Stephen"
238,"Train, Arthur Cheney"
239,"Chambers, Robert W. (Robert William)"
240,"Lansing, Robert"
241,"Grinnell, George Bird"
242,"Doyle, Arthur Conan"
243,"Le Gallienne, Richard"
244,"Brown, William Wells"
245,"Greene, Homer"
246,"De La Pasture, Henry, Mrs."
247,"Blaisdell, Albert F. (Albert Franklin)"
248,"Turnbull, Lawrence, Mrs."
249,"Flaubert, Gustave"
250,"Yeats, W. B. (William Butler)"
251,"Gregory, Augustus Charles"
252,"Eliot, Ethel Cook"
