176,"Freeman, R. Austin (Richard Austin)"
177,"Root, Elihu"
178,"Lord, John"
179,"Van Dyke, Henry"
180,"Atticus"
181,"Trask, Katrina"
182,"Summerhayes, Martha"
183,"Green, Alice Stopford"
184,"Vance, Louis Joseph"
185,"Shaw, Bernard"
186,"Austen, Jane"
187,"McGaffey, Kenneth"
188,"Clinton, Bill"
189,"Carlyle, Thomas"
190,"Smith, R. Cadwallader"
191,"Cotter, Frank J."
192,"Dell, Ethel M. (Ethel May)"
193,"American Tract Society"
194,"Bridges, Victor"
195,"W. M."
196,"Calkin, John Baptiste"
197,"Crawford, F. Marion (Francis Marion)"
198,"Conrad, Joseph"
199,"Oppenheim, E. Phillips (Edward Phillips)"
200,"Pierpont, James"
201,"Browne, Theo. Stephenson"
202,"Stevenson, Augusta"
203,"Quiller-Couch, Arthur"
204,"Wodehouse, P. G. (Pelham Grenville)"
205,"Child, Lydia Maria"
206,"Orczy, Emmuska Orczy, Baroness"
207,"Yonge, Charles Duke"
208,"Flaubert, Gustave"
