51202,Paris,"{""type"":""Point"",""coordinates"":[2.3488,48.85341]}"
56758,York,"{""type"":""Point"",""coordinates"":[-1.08271,53.95763]}"
56987,Washington,"{""type"":""Point"",""coordinates"":[-1.51667,54.9]}"
56988,Washington,"{""type"":""Point"",""coordinates"":[-0.40649,50.90487]}"
57769,Oxford,"{""type"":""Point"",""coordinates"":[-1.25596,51.75222]}"
59661,Boston,"{""type"":""Point"",""coordinates"":[-0.02664,52.97633]}"
93489,Oxford,"{""type"":""Point"",""coordinates"":[172.18333,-43.3]}"
98646,Cafe,"{""type"":""Point"",""coordinates"":[120.70623,15.33686]}"
98855,Boston,"{""type"":""Point"",""coordinates"":[126.36417,7.87111]}"
99008,Bay,"{""type"":""Point"",""coordinates"":[121.2848,14.1831]}"
120548,Oxford,"{""type"":""Point"",""coordinates"":[-85.83496,33.61427]}"
120635,York,"{""type"":""Point"",""coordinates"":[-88.29642,32.48625]}"
120648,Bay,"{""type"":""Point"",""coordinates"":[-90.56233,35.7423]}"
120697,England,"{""type"":""Point"",""coordinates"":[-91.96903,34.54426]}"
120797,Paris,"{""type"":""Point"",""coordinates"":[-93.72992,35.29203]}"
121651,Boston,"{""type"":""Point"",""coordinates"":[-83.78989,30.79186]}"
121871,Oxford,"{""type"":""Point"",""coordinates"":[-83.86741,33.619]}"
121973,Washington,"{""type"":""Point"",""coordinates"":[-82.73931,33.73679]}"
122134,Paris,"{""type"":""Point"",""coordinates"":[-87.69614,39.61115]}"
122344,Washington,"{""type"":""Point"",""coordinates"":[-87.17279,38.65922]}"
122489,Oxford,"{""type"":""Point"",""coordinates"":[-97.16893,37.27419]}"
122529,Washington,"{""type"":""Point"",""coordinates"":[-97.05086,39.81806]}"
122735,Paris,"{""type"":""Point"",""coordinates"":[-84.25299,38.2098]}"
122930,Iowa,"{""type"":""Point"",""coordinates"":[-93.01376,30.23687]}"
123431,Bismarck,"{""type"":""Point"",""coordinates"":[-90.62485,37.76922]}"
123659,Paris,"{""type"":""Point"",""coordinates"":[-92.00128,39.48087]}"
123754,Washington,"{""type"":""Point"",""coordinates"":[-91.01209,38.55811]}"
123915,Oxford,"{""type"":""Point"",""coordinates"":[-89.51925,34.3665]}"
123923,Philadelphia,"{""type"":""Point"",""coordinates"":[-89.11673,32.77152]}"
123965,University,"{""type"":""Point"",""coordinates"":[-89.52536,34.36594]}"
124281,Oxford,"{""type"":""Point"",""coordinates"":[-78.59083,36.3107]}"
124414,Washington,"{""type"":""Point"",""coordinates"":[-77.05217,35.54655]}"
124780,Oxford,"{""type"":""Point"",""coordinates"":[-84.74523,39.507]}"
125174,Oxford,"{""type"":""Point"",""coordinates"":[-75.97883,39.78539]}"
125180,Philadelphia,"{""type"":""Point"",""coordinates"":[-75.16379,39.95234]}"
125221,York,"{""type"":""Point"",""coordinates"":[-76.72774,39.9626]}"
125462,York,"{""type"":""Point"",""coordinates"":[-81.24202,34.9943]}"
125678,Paris,"{""type"":""Point"",""coordinates"":[-88.32671,36.302]}"
126344,Paris,"{""type"":""Point"",""coordinates"":[-95.55551,33.66094]}"
126570,West,"{""type"":""Point"",""coordinates"":[-97.09167,31.80238]}"
126946,Washington,"{""type"":""Point"",""coordinates"":[-78.15944,38.71345]}"
127105,Washington,"{""type"":""Point"",""coordinates"":[-81.6718,39.26119]}"
127261,Oxford,"{""type"":""Point"",""coordinates"":[-73.11678,41.43399]}"
127342,Atlantic,"{""type"":""Point"",""coordinates"":[-95.01388,41.4036]}"
127597,Washington,"{""type"":""Point"",""coordinates"":[-91.69294,41.29918]}"
127799,Harvard,"{""type"":""Point"",""coordinates"":[-88.61371,42.42224]}"
128083,Washington,"{""type"":""Point"",""coordinates"":[-89.40731,40.70365]}"
128253,Oxford,"{""type"":""Point"",""coordinates"":[-87.24779,40.51976]}"
128346,Boston,"{""type"":""Point"",""coordinates"":[-71.05977,42.35843]}"
128433,Harvard,"{""type"":""Point"",""coordinates"":[-71.58284,42.50009]}"
128463,Leverett,"{""type"":""Point"",""coordinates"":[-72.50148,42.45203]}"
128538,Oxford,"{""type"":""Point"",""coordinates"":[-71.86479,42.11676]}"
128834,Oxford,"{""type"":""Point"",""coordinates"":[-70.49311,44.13174]}"
128837,Paris,"{""type"":""Point"",""coordinates"":[-70.50062,44.25979]}"
128899,Washington,"{""type"":""Point"",""coordinates"":[-69.36727,44.27369]}"
129221,Oxford,"{""type"":""Point"",""coordinates"":[-83.26466,42.82475]}"
129835,Harvard,"{""type"":""Point"",""coordinates"":[-98.09727,40.6189]}"
129896,York,"{""type"":""Point"",""coordinates"":[-97.592,40.86807]}"
130301,Oxford,"{""type"":""Point"",""coordinates"":[-74.98962,40.80315]}"
130405,Washington,"{""type"":""Point"",""coordinates"":[-74.97934,40.75843]}"
130998,Oxford,"{""type"":""Point"",""coordinates"":[-75.59769,42.44202]}"
131017,Philadelphia,"{""type"":""Point"",""coordinates"":[-75.70882,44.1545]}"
132466,Washington,"{""type"":""Point"",""coordinates"":[-80.24617,40.17396]}"
134827,Washington,"{""type"":""Point"",""coordinates"":[-113.50829,37.13054]}"
135028,Paris,"{""type"":""Point"",""coordinates"":[-111.40104,42.22715]}"
135158,Bismarck,"{""type"":""Point"",""coordinates"":[-100.78374,46.80833]}"
136353,University,"{""type"":""Point"",""coordinates"":[-82.43609,28.0692]}"
1487,Morrison,"{""type"":""Point"",""coordinates"":[-62.83455,-32.5948]}"
7505,Itu,"{""type"":""Point"",""coordinates"":[-47.29917,-23.26417]}"
9068,Rivers,"{""type"":""Point"",""coordinates"":[-100.24029,50.03081]}"
10331,Court,"{""type"":""Point"",""coordinates"":[7.33655,47.23956]}"
54429,Don,"{""type"":""Point"",""coordinates"":[2.91817,50.54912]}"
58578,Hill,"{""type"":""Point"",""coordinates"":[-2.51556,51.65139]}"
59073,Dundee,"{""type"":""Point"",""coordinates"":[-2.97489,56.46913]}"
80220,Montanaro,"{""type"":""Point"",""coordinates"":[7.85332,45.23355]}"
84161,Don,"{""type"":""Point"",""coordinates"":[11.13647,46.38931]}"
